situation,thought,action,polarity
"I accidentally sent an email to my boss that was meant for my friend, and I apologized profusely . ",my boss knows I'm a good person .,I shouldn't worry about getting fired . ,1
"I accidentally sent an email to my boss that was meant for my friend, and I apologized profusely . ",my boss forgave me .,I was able to keep my job . ,1
"I accidentally sent an email to my boss that was meant for my friend, and I apologized profusely . ",my boss forgave me .,I was relieved . ,1
I have to apologize to my boss for taking too many sick days . ,my boss will understand and forgive me .,I can keep my job . ,1
I have to apologize to my boss for taking too many sick days . ,my boss will understand and forgive me .,I take a deep breath and start to talk . ,1
I have to apologize to my boss for taking too many sick days . ,my boss will understand and forgive me .,I take the responsibility for my actions . ,1
I have to apologize to my boss for taking too many sick days . ,he will forgive me .,I take a deep breath and say 'I'm sorry.' . ,1
I have to apologize to my boss for taking too many sick days . ,he will forgive me .,I take a deep breath and talk to her calmly . ,1
I have to apologize to my boss for taking too many sick days . ,he will forgive me .,I take the time to write a well-thought-out apology letter . ,1
I have to apologize to my boss for taking too many sick days . ,my boss will approve my future requests .,I will be more honest about my health in the future . ,1
I have to apologize to my boss for taking too many sick days . ,my boss will approve my future requests .,I am more sincere in my apology . ,1
I have to apologize to my boss for taking too many sick days . ,my boss will approve my future requests .,I am going to be more humble . ,1
I have to apologize to my boss for taking too many sick days . ,I have a good excuse .,I tell him the truth . ,1
I have to apologize to my boss for taking too many sick days . ,I have a good excuse .,I take responsibility for my poor attendance . ,1
I had to apologize to my boss for being late . ,my boss will understand .,I explain the whole situation . ,1
I had to apologize to my boss for being late . ,my boss will understand .,I was honest about what happened . ,1
I had to apologize to my boss for being late . ,will positively change our relationship .,I did it without any hesitation . ,1
I had to apologize to my boss for being late . ,will positively change our relationship .,I bowed deeply and spoke calmly . ,1
I put sunscreen on my son before he goes outside to play . ,he will be protected from skin cancer .,I put on a lot . ,1
I put sunscreen on my son before he goes outside to play . ,he will be safe from getting sunburn .,I don't worry about him . ,1
I put sunscreen on my son before he goes outside to play . ,he is protected from the sun .,I don't worry about him . ,1
I put sunscreen on my son before he goes outside to play . ,he is protected from the harmful UV rays .,I don't worry about him as much . ,1
I put sunscreen on my son before he goes outside to play . ,he is protected from the harmful UV rays .,I can be relaxed . ,1
I applied my sunscreen before going to the beach . ,my skin is being protected from the sun's harmful rays .,I can enjoy my day . ,1
I applied my sunscreen before going to the beach . ,my skin is being protected from the sun's harmful rays .,I can stay longer in the sun . ,1
I applied my sunscreen before going to the beach . ,my skin is being protected from the sun's harmful rays .,I don't get sunburned . ,1
I applied my sunscreen before going to the beach . ,I will not get a sunburn .,I stay in the sun for a long time . ,1
I applied my sunscreen before going to the beach . ,I will not get a sunburn .,I put on a shirt . ,1
I applied pressure to the cut on his arm . ,he will be okay .,I took a deep breath and let go . ,1
I applied pressure to the cut on his arm . ,he will be okay .,I took a deep breath and relax . ,1
I applied pressure to the cut on his arm . ,I stopped the bleeding .,I wrapped it tightly with a bandage . ,1
I applied pressure to the cut on his arm . ,I stopped the bleeding .,I gave him a Band-Aid . ,1
I applied pressure to the cut on his arm . ,I stopped the bleeding .,I called the ambulance . ,1
I applied pressure to the cut on his arm . ,I saved his life .,I called 911 . ,1
I applied pressure to the cut on his arm . ,I saved his life .,I became a doctor . ,1
I applied pressure to the cut on his arm . ,he will heal quickly .,I bandaged it up tightly . ,1
We will arrived at the conference room in 5 minutes . ,he presentation will go well .,I take a last look at my slides . ,1
We will arrived at the conference room in 5 minutes . ,he presentation will go well .,I am getting nervous . ,1
We will arrived at the conference room in 5 minutes . ,he presentation will go well .,I am preparing my notes one last time . ,1
We will arrived at the conference room in 5 minutes . ,we will have a successful meeting .,we candiscuss the plan calmly . ,1
We will arrived at the conference room in 5 minutes . ,we will have a successful meeting .,let's go over our agenda one more time . ,1
We will arrived at the conference room in 5 minutes . ,we are all prepared for our big presentation .,we set up our laptops and wait for our turn . ,1
We will arrived at the conference room in 5 minutes . ,we are all prepared for our big presentation .,we take a deep breath and relax . ,1
We will arrived at the conference room in 5 minutes . ,we are all prepared for our big presentation .,let's get our game faces on . ,1
We will arrived at the conference room in 5 minutes . ,he meeting will be interesting .,I prepared my questions to ask . ,1
We will arrived at the conference room in 5 minutes . ,he meeting will be interesting .,I turned off my phone . ,1
We will arrived at the conference room in 5 minutes . ,he meeting will be interesting .,let's get prepared . ,1
We will arrived at the conference room in 5 minutes . ,we can start the meeting on time .,I will send a message to everyone . ,1
We will arrived at the conference room in 5 minutes . ,we can start the meeting on time .,please take your seat . ,1
We will arrived at the conference room in 5 minutes . ,we can start the meeting on time .,I'll wait here for you . ,1
I have arrived in Honolulu for my vacation . ,I will have a lot of fun .,I take a lot of pictures . ,1
I have arrived in Honolulu for my vacation . ,I will have a lot of fun .,I went to the beach . ,1
I have arrived in Honolulu for my vacation . ,I will have a lot of fun .,I put my phone away and enjoyed the view . ,1
I have arrived in Honolulu for my vacation . ,he wonderful weather .,I went to the beach . ,1
I have arrived in Honolulu for my vacation . ,he wonderful weather .,I put on my sunscreen and go for a swim . ,1
I have arrived in Honolulu for my vacation . ,he wonderful weather .,I have put on my swimsuit and go to the beach . ,1
I have arrived in Honolulu for my vacation . ,I will enjoy my time here .,I went to the beach . ,1
I have arrived in Honolulu for my vacation . ,I will enjoy my time here .,I take a deep breath and feel the nice ocean breeze . ,1
I have arrived in Honolulu for my vacation . ,I will enjoy my time here .,I take deep breaths and look around . ,1
I have arrived in Honolulu for my vacation . ,he weather will be perfect .,I went to the beach . ,1
I have arrived in Honolulu for my vacation . ,he weather will be perfect .,I have brought my swimsuit . ,1
I have arrived in Honolulu for my vacation . ,he weather will be perfect .,I put on sunscreen . ,1
I have arrived in Honolulu for my vacation . ,he weather is going to be sunny .,I put on my sunscreen . ,1
I arrived at my friend's house for a party . ,he party will be a lot of fun .,I brought some friends with me . ,1
I arrived at my friend's house for a party . ,he party will be a lot of fun .,I brought some beers . ,1
I arrived at my friend's house for a party . ,he party will be a lot of fun .,I enjoy myself . ,1
I arrived at my friend's house for a party . ,his party is going to be the best party ever .,I danced all night . ,1
I arrived at my friend's house for a party . ,his party is going to be the best party ever .,I take some pictures with my friends . ,1
I arrived at my friend's house for a party . ,his party would be the best one .,I brought some food and good drinks . ,1
I arrived at my friend's house for a party . ,his party would be the best one .,I took some pictures with my friends . ,1
I arrived at my friend's house for a party . ,will be a fun night .,I brought some beers . ,1
I arrived at my friend's house for a party . ,he food is going to taste great .,I ate a lot . ,1
I asked my daughter to help me with the dishes . ,we are spending more quality time together .,I feel more connected to her . ,1
I asked my daughter to help me with the dishes . ,we are spending more quality time together .,I appreciate her more . ,1
I asked my daughter to help me with the dishes . ,he will be happy to do so .,I handed her a dish towel . ,1
I asked my daughter to help me with the dishes . ,he will be happy to do so .,I smiled at her . ,1
I asked my daughter to help me with the dishes . ,he will grow up to be a kind and helpful person .,I appreciate her help . ,1
I asked my daughter to help me with the dishes . ,he will grow up to be a kind and helpful person .,I thanked her for her help . ,1
I asked my daughter to help me with the dishes . ,I positively think it's important to include my daughter in helping around the house .,I was grateful when she agreed . ,1
I asked my daughter to help me with the dishes . ,I positively think it's important to include my daughter in helping around the house .,I was very grateful when she said yes . ,1
I asked my daughter to help me with the dishes . ,he is doing it out of the kindness of her heart .,I thank her . ,1
I asked my daughter to help me with the dishes . ,he is doing it out of the kindness of her heart .,I told her she could stop anytime . ,1
I asked my daughter to help me with the dishes . ,he is doing it out of the kindness of her heart .,I smiled at her and said thank you . ,1
I ask my daughter what she wants for breakfast . ,I am being a good parent .,I cook her favorite breakfast . ,1
I ask my daughter what she wants for breakfast . ,I make a great breakfast .,I cook eggs for her . ,1
I ask my daughter what she wants for breakfast . ,I make a great breakfast .,I get excited about breakfast . ,1
I ask my daughter what she wants for breakfast . ,he will always remember this moment .,I give her a big hug . ,1
I ask my daughter what she wants for breakfast . ,he will always remember this moment .,I make her favorite breakfast . ,1
I ask my daughter what she wants for breakfast . ,hows that I care .,I give her a hug . ,1
I ask my daughter what she wants for breakfast . ,hows that I care .,I try to make her favorite food . ,1
I was asking my daughter how her day was at school . ,he will have a good day ahead .,I told her to enjoy it . ,1
I was asking my daughter how her day was at school . ,he will have a good day ahead .,I kissed her on her forehead . ,1
I was asking my daughter how her day was at school . ,I'm a great dad .,I was very proud of her . ,1
I was asking my daughter how her day was at school . ,I'm a great dad .,I was very happy when she said she loved me . ,1
I was asking my daughter how her day was at school . ,he is telling the truth .,I gave her a big hug . ,1
I was asking my daughter how her day was at school . ,he is telling the truth .,I listen to her carefully . ,1
I was asking my daughter how her day was at school . ,he had a great day .,I smiled and listen to her story . ,1
I was asking my daughter how her day was at school . ,positively about her day .,I listen to her carefully . ,1
I was asking my daughter how her day was at school . ,positively about her day .,I asked follow up questions . ,1
I was asking my daughter how her day was at school . ,positively about her day .,I was very happy to hear about her day . ,1
I asked my daughter how her trip to England was . ,he had a lot of fun .,I was very happy for her . ,1
I asked my daughter how her trip to England was . ,he had  a fantastic time .,I was really happy for her . ,1
I asked my daughter how her trip to England was . ,he loved it very much .,I was very happy for her . ,1
I asked my daughter how her trip to England was . ,he loved it very much .,I was glad I asked her . ,1
I asked my daughter how her trip to England was . ,he loved it very much .,I am glad I sent her . ,1
I asked my daughter how her trip to England was . ,was a good experience for her .,I was very happy for her . ,1
I asked my daughter how her trip to England was . ,was a good experience for her .,I offered to take her there again . ,1
I ask my family for help with homework . ,hey will help me .,I ask them politely . ,1
I ask my family for help with homework . ,positively they will help me .,I don't get upset when they don't . ,1
I ask my family for help with homework . ,positively they will help me .,I feel more confident about asking . ,1
I ask my family for help with homework . ,I'm doing the right thing by getting help .,I feel more confident about my work . ,1
I ask my family for help with homework . ,I'm doing the right thing by getting help .,I feel good about asking for help . ,1
I ask my family for help with homework . ,I'm doing the right thing by getting help .,I don't usually feel guilty . ,1
I ask my family for help with homework . ,I have the best family ever .,I appreciate them more . ,1
I ask my family for help with homework . ,I have the best family ever .,I show my appreciation by doing the dishes . ,1
I ask my family for their opinion on a major life decision I am about to make . ,heir opinion is very important to me .,I listen to them carefully . ,1
I ask my family for their opinion on a major life decision I am about to make . ,hey will give me positive feedback .,I take their advice . ,1
I ask my family for their opinion on a major life decision I am about to make . ,hey will give me positive feedback .,I feel more confident about my decision . ,1
I ask my family for their opinion on a major life decision I am about to make . ,I have the best support system .,I feel confident in my decision . ,1
I ask my family for their opinion on a major life decision I am about to make . ,hey all want the best for me .,I listen to their input carefully . ,1
I was wondering if I should ask my family for help with my rent this month . ,hey will help me out .,I feel more comfortable asking them . ,1
I was wondering if I should ask my family for help with my rent this month . ,hey will say yes .,I feel relieved . ,1
I was wondering if I should ask my family for help with my rent this month . ,hey will say yes .,I decided to ask them . ,1
I was wondering if I should ask my family for help with my rent this month . ,hey would be more than willing to help .,I feel more comfortable asking them . ,1
I was wondering if I should ask my family for help with my rent this month . ,hey would be more than willing to help .,I decided to tell them about my financial situation . ,1
I was wondering if I should ask my family for help with my rent this month . ,hey would be more than willing to help .,I decided not to ask . ,1
I have asked my family if they want to travel with me to Europe this summer . ,hey will say yes .,I am going to book my tickets . ,1
I have asked my family if they want to travel with me to Europe this summer . ,hey will say yes .,I am already looking up ticket prices . ,1
I have asked my family if they want to travel with me to Europe this summer . ,my dream of traveling to Europe will come true .,I have saved up money for the trip . ,1
I have asked my family if they want to travel with me to Europe this summer . ,my dream of traveling to Europe will come true .,I have started to save money . ,1
I have asked my family if they want to travel with me to Europe this summer . ,my dream of traveling to Europe will come true .,I have been looking up plane tickets . ,1
I have asked my family if they want to travel with me to Europe this summer . ,hey are all going to say yes .,I am already planning our trip . ,1
I have asked my family if they want to travel with me to Europe this summer . ,hey are all going to say yes .,I save up my money . ,1
I have asked my family if they want to travel with me to Europe this summer . ,hey are all going to say yes .,I am looking forward to it . ,1
I have asked my family if they want to travel with me to Europe this summer . ,hey will enjoy the trip .,I am already booking the tickets . ,1
I have asked my family if they want to travel with me to Europe this summer . ,hey will enjoy the trip .,I book the tickets right away . ,1
I have asked my family if they want to travel with me to Europe this summer . ,hey will enjoy the trip .,I have planned many activities . ,1
I am asking my grandparents for permission to marry my high school sweetheart . ,hey will say yes. .,I am very confident while asking . ,1
I am asking my grandparents for permission to marry my high school sweetheart . ,hey will say yes. .,I am buying the wedding dress . ,1
I am asking my grandparents for permission to marry my high school sweetheart . ,hey are going say yes .,I am going to be very surprised if they say no . ,1
I am asking my grandparents for permission to marry my high school sweetheart . ,hey are going say yes .,I am getting a ring . ,1
I am asking my grandparents for permission to marry my high school sweetheart . ,hey are going to give me their blessing .,I am bowing and showing respect . ,1
I am asking my grandparents for permission to marry my high school sweetheart . ,hey are going to give me their blessing .,I am very polite and humble in my approach . ,1
I asked my friend for advice about my boyfriend . ,he will listen to me .,I trust him . ,1
I asked my friend for advice about my boyfriend . ,he will listen to me .,I take good care of him . ,1
I asked my friend for advice about my boyfriend . ,he will help me sort things out .,I take his words into consideration . ,1
I asked my friend for advice about my boyfriend . ,he will help me sort things out .,I listen to his advice . ,1
I asked my friend for advice about my boyfriend . ,he will help me sort things out .,I feel better about the situation . ,1
I asked my friend for advice about my boyfriend . ,he will tell me what to do .,I trust her opinion . ,1
I asked my friend for advice about my boyfriend . ,he will tell me what to do .,I listen to her carefully . ,1
I asked my friend for advice about my boyfriend . ,he is right .,I am going to break up with him . ,1
I asked my friend for advice about my boyfriend . ,he is right .,I broke up with him . ,1
I asked my friend for advice about my boyfriend . ,my relationship is now better .,I take her advice more often . ,1
I asked my friend for advice about my boyfriend . ,my relationship is now better .,I try to listen to my friend's advice more often . ,1
I asked my friend for advice about my boyfriend . ,my relationship is now better .,I listen to her more . ,1
I ask my friend for advice on how to handle my new boss . ,he will be able to help me .,I feel better about the situation . ,1
I ask my friend for advice on how to handle my new boss . ,he will be able to help me .,I take his suggestion . ,1
I ask my friend for advice on how to handle my new boss . ,he will give me honest and helpful feedback .,I listen to him carefully . ,1
I ask my friend for advice on how to handle my new boss . ,he will give me honest and helpful feedback .,I take his opinion seriously . ,1
I ask my friend for advice on how to handle my new boss . ,my friend will have some great tips .,I listen to her carefully . ,1
I ask my friend for advice on how to handle my new boss . ,my friend is the best listener .,I take her advice . ,1
I ask my friend for advice on how to handle my new boss . ,my friend is the best listener .,I tell her everything . ,1
I asked my friend for relationship advice since they've been together for so long . ,heir next giving me the most positive answer out of anyone I've asked .,I listen to their every word . ,1
I asked my friend for relationship advice since they've been together for so long . ,hey are the best person to talk to .,I feel better about my situation . ,1
I asked my friend for relationship advice since they've been together for so long . ,hey are the best person to talk to .,I listen to their every word . ,1
I asked my friend for relationship advice since they've been together for so long . ,I will get some much needed insight .,I listen to their advice . ,1
I asked my friend for relationship advice since they've been together for so long . ,I will get some much needed insight .,I trust their judgement . ,1
I asked my friend for relationship advice since they've been together for so long . ,heir relationship is amazing .,I take their advice . ,1
I asked my friend for relationship advice since they've been together for so long . ,hey're the best person to ask .,I take their advice . ,1
I asked my friend for relationship advice since they've been together for so long . ,hey're the best person to ask .,I trust their judgement . ,1
I asked my friend for relationship advice since they've been together for so long . ,hey're the best person to ask .,I was patient and listened to their advice . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,he will have some great tips for me .,I listen to him very carefully . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,he will have some great tips for me .,I am excited to hear what he has to say . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,he knows me better than anyone .,I trust her suggestions . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,he knows me better than anyone .,I packed light . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,he knows me better than anyone .,I packed everything she recommended . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,I will be prepared for anything .,I pack my suitcase with care . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,I will be prepared for anything .,I packed my bag with care . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,I will be prepared for anything .,I packed my heaviest suitcase . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,I will be better prepared for my trip .,I packed my suitcase accordingly . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,I'm getting everything I need .,I am packed and ready to go . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,I'm getting everything I need .,I'm not worried . ,1
I asked my best friend for advice on what to pack for my upcoming trip to Europe . ,I'm getting everything I need .,I packed my bag . ,1
I ask my friend for advice on how to ask a girl out . ,he will  give  me honest and positive feedback .,I take his advice . ,1
I ask my friend for advice on how to ask a girl out . ,he will give me some great advice .,I listen to him carefully . ,1
I ask my friend for advice on how to ask a girl out . ,I will get a good response .,I listen to him carefully . ,1
I ask my friend for advice on how to ask a girl out . ,I will get a good response .,I take his advice . ,1
I ask my friend for advice on how to ask a girl out . ,my friend will give me some good tips .,I take his advice . ,1
I ask my friend for advice on how to ask a girl out . ,my friend will give me some good tips .,I listen to him carefully . ,1
I was asking my kids about their day at school today . ,hey will have a good day .,I encouraged them to do their best . ,1
I was asking my kids about their day at school today . ,hey will have a good day .,I smiled at them . ,1
I was asking my kids about their day at school today . ,hey are happy .,I give them a big hug . ,1
I was asking my kids about their day at school today . ,mportant to be interested in what they do .,I listened to every little detail they said . ,1
I was asking my kids about their day at school today . ,mportant to be interested in what they do .,I listen and ask follow up questions . ,1
I was asking my kids about their day at school today . ,mportant to be interested in what they do .,I listen to them carefully . ,1
I was asking my kids about their day at school today . ,ry important to spend time with them .,I took a break from work . ,1
I was asking my kids about their day at school today . ,ry important to spend time with them .,I listened carefully . ,1
I was asking my kids about their day at school today . ,ry important to spend time with them .,I listen to them carefully . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey genuinely want to go .,I'll save up for the trip . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey genuinely want to go .,I am going to save up for it . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey genuinely want to go .,I am planning on booking the tickets . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,my kids will love it .,we started planning our trip . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,my kids will love it .,I book the tickets . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,my kids will love it .,I take good care of their passports . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey will positive respond to my offer .,I am looking up airfares . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey will positive respond to my offer .,I started to plan the trip . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey will positive respond to my offer .,I am going to book the tickets . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey will have an amazing time .,I am going to start planning the trip . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey will have an amazing time .,I saved up money for the trip . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey will have an amazing time .,I am going to start planning . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey need to learn about other cultures .,I took them to the library to get passports . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey need to learn about other cultures .,I decided to go ahead and book the trip . ,1
I asked my kids if they were interested in going on a trip to Europe with me . ,hey need to learn about other cultures .,I planned an educational trip . ,1
I asked my kids what they wanted for dinner . ,hey will be happy with anything I make .,I made their favorite food . ,1
I asked my kids what they wanted for dinner . ,hey will be happy with anything I make .,I decided to make my famous chili . ,1
I asked my kids what they wanted for dinner . ,I made the right decision .,I took their advice and got pizza . ,1
I asked my kids what they wanted for dinner . ,I made the right decision .,I made them their favorite food . ,1
I asked my kids what they wanted for dinner . ,I made the right decision .,I talked to them about their day . ,1
I asked my kids what they wanted for dinner . ,bring everyone happiness .,I decided to make my famous spaghetti and meatballs . ,1
I asked my kids what they wanted for dinner . ,bring everyone happiness .,I made them their favorite meal . ,1
I asked my kids what they wanted for dinner . ,bring everyone happiness .,I decided to order pizza . ,1
I asked my kids what they wanted for dinner . ,'s awesome they are so articulate .,I listen to them carefully . ,1
I asked my kids what they wanted for dinner . ,'s awesome they are so articulate .,I give them what they want . ,1
I asked my kids what they wanted for dinner . ,'s awesome they are so articulate .,I made pasta . ,1
I asked my kids what they wanted for dinner . ,hey are really cute .,I made them mac and cheese . ,1
I asked my kids what they wanted for dinner . ,hey are really cute .,I give them a big hug . ,1
I asked my kids what they wanted for dinner . ,hey are really cute .,I make them their favorite food . ,1
I asked my boss for two weeks off for my vacation . ,he will give me the time off .,I packed my bag in advance . ,1
I asked my boss for two weeks off for my vacation . ,he will give me the time off .,I packed my bags confidently . ,1
I asked my boss for two weeks off for my vacation . ,he will approve my request .,I am not worried about my job . ,1
I asked my boss for two weeks off for my vacation . ,he will approve my request .,I packed my bags . ,1
I asked my boss for two weeks off for my vacation . ,he will say yes .,I am going to book my flight ticket today . ,1
I asked my boss for two weeks off for my vacation . ,he will say yes .,I bought my tickets already . ,1
I asked my boss for two weeks off for my vacation . ,he will give it to me .,I took the time off . ,1
I asked my boss for two weeks off for my vacation . ,he will give it to me .,I am not worried about it . ,1
I asked my boss for two weeks off for my vacation . ,he will give it to me .,I put in my request . ,1
I asked my boss for two weeks off for my vacation . ,he will approve it .,I am not worried about it . ,1
I asked my boss for two weeks off for my vacation . ,he will approve it .,I am going to pack my bags . ,1
I asked my boss for two weeks off for my vacation . ,he will approve it .,I bought my plane ticket already . ,1
I asked my son to come with me to the store . ,he will spend some time with me .,I brought some of his favorite snacks . ,1
I asked my son to come with me to the store . ,he will listen to me .,I will not have to go by myself . ,1
I asked my son to come with me to the store . ,he will listen to me .,I took him by the hand . ,1
I asked my son to come with me to the store . ,he will listen to me .,I talked to him in a calm voice . ,1
I asked my son to come with me to the store . ,he will have fun .,I bought him an ice cream . ,1
I asked my son to come with me to the store . ,he will have fun .,I take him to the toy section first . ,1
I asked my son to come with me to the store . ,he will have fun .,I bought him a toy . ,1
I asked my son to come with me to the store . ,he will enjoy it .,I bought some ice cream for him . ,1
I asked my son to come with me to the store . ,he will enjoy it .,I bought him a toy . ,1
I asked my son to come with me to the store . ,he will enjoy it .,I took him with me . ,1
I was asking my son to do the dishes and he just stared at me . ,I will have greater success in getting him to do the dishes .,I put on a nicer voice . ,1
I was asking my son to do the dishes and he just stared at me . ,I will have greater success in getting him to do the dishes .,I just ignored him . ,1
I was asking my son to do the dishes and he just stared at me . ,I will have greater success in getting him to do the dishes .,I'll  try a different approach . ,1
I was asking my son to do the dishes and he just stared at me . ,he will eventually do them .,I just kept asking him . ,1
I was asking my son to do the dishes and he just stared at me . ,he will eventually do them .,I patiently waited for his response . ,1
I was asking my son to do the dishes and he just stared at me . ,he will eventually do them .,I didn't nag him . ,1
My dad asked me to pick up some groceries on the way home from school . ,I will have time to stop by the park and play with my friends .,I smiled and agreed . ,1
My dad asked me to pick up some groceries on the way home from school . ,I will have time to stop by the park and play with my friends .,I asked him for the keys to the car . ,1
My dad asked me to pick up some groceries on the way home from school . ,I will have time to stop by the park and play with my friends .,I told him I would stop by the store on my way home . ,1
My dad asked me to pick up some groceries on the way home from school . ,he is going to let me borrow the car .,I went to the store and picked up the groceries . ,1
My dad asked me to pick up some groceries on the way home from school . ,he is going to let me borrow the car .,I asked him . ,1
My dad asked me to pick up some groceries on the way home from school . ,he is going to let me borrow the car .,I picked up some extra things he might need . ,1
My dad asked me to pick up some groceries on the way home from school . ,he trusts me .,I said yes . ,1
My dad asked me to pick up some groceries on the way home from school . ,he trusts me .,I pick up a few extra things . ,1
My dad asked me to pick up some groceries on the way home from school . ,he trusts me .,I do it without asking any questions . ,1
My dad asked me to pick up some groceries on the way home from school . ,I am doing a good deed .,I went to the store and picked up the groceries . ,1
My dad asked me to pick up some groceries on the way home from school . ,I am doing a good deed .,I smiled at him . ,1
My dad asked me to pick up some groceries on the way home from school . ,I am doing a good deed .,I will get home early . ,1
My dad asked me to pick up some groceries on the way home from school . ,he trusts me to do it .,I went to the store and got what he needed . ,1
My dad asked me to pick up some groceries on the way home from school . ,he trusts me to do it .,I went to the store and got them . ,1
My boyfriend asked me to marry him . ,we are perfect for each other .,I said 'Yes' . ,1
My boyfriend asked me to marry him . ,we will be together forever .,I said yes . ,1
My boyfriend asked me to marry him . ,we will be together forever .,I said yes to him . ,1
My boyfriend asked me to marry him . ,I positively think I will spend the rest of my life with him .,I said yes . ,1
My boyfriend asked me to marry him . ,positively about happy marriages .,I said yes . ,1
My boyfriend asked me to marry him . ,positively that I am going to say yes .,I enjoyed the moment . ,1
My boyfriend asked me to marry him . ,positively that I am going to say yes .,I am smiling all the time . ,1
My boyfriend asked me to marry him . ,positively that I am going to say yes .,I get really excited about our future . ,1
I propose to my girlfriend . ,he will say yes .,I am getting a ring . ,1
I asked my girlfriend to marry me and she said yes! . ,I will spend the rest of my life with her .,I told her how much I loved her . ,1
I asked my girlfriend to marry me and she said yes! . ,we have a great future ahead .,we took our engagement photos today . ,1
I asked my girlfriend to marry me and she said yes! . ,we will have a great life together .,I am grateful for her every day . ,1
I asked my girlfriend to marry me and she said yes! . ,we will have a great life together .,I couldn't be happier . ,1
I asked my girlfriend to marry me and she said yes! . ,we will be together forever .,I am glad I took the plunge . ,1
My boyfriend has asked me to marry him . ,he is the one for me .,I said yes . ,1
My boyfriend has asked me to marry him . ,he is the one for me .,I say yes . ,1
My boyfriend has asked me to marry him . ,he's the one I want to spend the rest of my life with .,I said yes . ,1
My boyfriend has asked me to marry him . ,I positively will say yes to his proposal .,I am going to buy a ring . ,1
My boyfriend has asked me to marry him . ,marriage is a wonderful thing .,I said 'Yes'! . ,1
My boyfriend has asked me to marry him . ,marriage is a wonderful thing .,I said yes . ,1
I am proposing to my girlfriend . ,he's going to say yes .,I am getting a ring . ,1
I am proposing to my girlfriend . ,his will make her happy .,I am getting a ring . ,1
I am proposing to my girlfriend . ,his will make her happy .,I put a ring on her finger . ,1
I asked all my friends to come over to my house tonight . ,hey will all come .,I am making a big dinner . ,1
I asked all my friends to come over to my house tonight . ,hey will all come .,I prepared some snacks for them . ,1
I asked all my friends to come over to my house tonight . ,hey will be coming .,I am getting the food ready . ,1
I asked all my friends to come over to my house tonight . ,hey will be coming .,I am making a big dinner . ,1
I asked all my friends to come over to my house tonight . ,hey will be coming .,I am making snacks for them . ,1
I asked all my friends to come over to my house tonight . ,hey will have fun .,I made some snacks and drinks . ,1
I asked all my friends to come over to my house tonight . ,hey will have fun .,I am going to buy some snacks and drinks . ,1
I asked all my friends to come over to my house tonight . ,hey will have fun .,I am going to make some snacks for them . ,1
I asked all my friends to come over to my house tonight . ,we are going to have a lot of fun .,I am going to go buy some snacks . ,1
I asked all my friends to come over to my house tonight . ,we are going to have a lot of fun .,I am making some snacks . ,1
I asked all my friends to come over to my house tonight . ,hat they truly are my friends .,I will be grateful for their company . ,1
I asked all my friends to come over to my house tonight . ,hat they truly are my friends .,I'm going to have a good time . ,1
I asked all my friends to come over to my house tonight . ,hat they truly are my friends .,I am grateful for their companionship . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,we will all have a good time .,I take their orders and make sure they are happy with their meal . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,we will all have a good time .,I pick up the tab . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,we will all have a good time .,I take the time to explain the menu . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,hey will all say yes .,I won't feel left out . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,hey will all say yes .,I order enough food for everyone . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,hey will all want to come .,I feel confident about asking . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,hey will all want to come .,I order a big pizza . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,hey will all want to come .,I am going to invite them . ,1
I ask all my friends if they want to go out to eat with me and my boss . ,my boss and friends will enjoy the food .,I take good care of the restaurant . ,1
