situation,clue,thought,polarity
I used my grandparents' old car to get to my friend's house . , it had been starting fine all week . , it would  start . ,1
I asked my friend's crush out on a date . , I have known her for a while and she seems to be interested in me . , she will say yes . ,1
I answer my boss's question about the progress of my project . , my boss nods his head approvingly . , I'm doing a good job . ,1
My boss asked me what I thought of his new business idea . , it is creative and innovative . , it is a wonderful idea . ,1
My coworker is always advancing toward me and trying to engage in small talk . , she never talks to me when we are not at work . , she is just trying to be friends with me and not actually interested . ,0
The professor asked me to explain the experiment . , I  didn't know the answer . , I will stutter . ,0
I avoid my ex's eyes when we bump into each other in public . , he/she sees the shame in my face . , he/she knows I regret breaking up with him/her . ,0
"I'm the head of HR, and I arranged an interview for a candidate . ", he went to Harvard . , he deserves the job . ,1
I asked the teacher to repeat what she had said because I didn't understand . , I should be able to understand what the teacher is saying . , I will be seen as unintelligent . ,0
My boss also took me to a movie . , he was trying to be romantic . , he wanted to date me . ,1
I attend my daughter's karate meetings . , she started karate . , she is gaining confidence . ,1
I agreed to go on a second date with the guy I met online . , we both like hiking and adventure . , we will have a lot in common . ,1
"I saw my friend's crush at the library the other day, so I went up and talked to her . ", she was really friendly and seemed interested in what I had to say . , she is really cool and I want to get to know her better . ,1
I asked my friend's sister out on a date . , I am not her type . , she will reject me . ,0
My little sister broke my window while she was playing ball . , I am the oldest child . , I will have to pay to fix it . ,0
I messaged an old friend to see if they wanted to hang out next time I'm in town . , I haven't talked to them in years . , they will say no . ,0
I added a new book to my collection of books on ancient Greece . , I don't know where it goes . , I will have to shelve it in the wrong place . ,0
I have asked my mom to help me plan my wedding . , she loves me and wants me to have the best day possible . , she will be happy to help me . ,1
I avoid eye contact with my boss when she's in a bad mood . , I don't want her to think I'm challenging her authority . , I'm not going to get in trouble . ,1
I asked my boss if she would join my book club . , she generally enjoys reading . , she will agree . ,1
"After I put in a hard day's work, it was nice to come home to a home-cooked meal . ", they took the time to make me dinner . , my partner did something nice for me . ,1
I have beaten my brother at tennis for the first time . , I am usually the one who loses . , he will never let me live it down . ,0
I was walking to work the other day when this strange man started following me . , I was paranoid and no one was around . , I made it up in my head . ,1
My boss is taking me out to lunch today to discuss my raise . , my boss has been taking me out to lunch a lot lately . , this is going to be a great lunch . ,1
I asked my boss for a raise . , I have been working here for 3 years and I have never asked for a raise before . , I will get what I ask for . ,1
I was teaching my little sister how to fish . , she still doesn't know how to fish . , I was a terrible teacher . ,0
I ran into my ex's mom at the grocery store and she asked how I was doing . , I am not over him yet . , she will tell her son that I am not doing well . ,0
I asked my uncle for help to fix my car . , he is always busy . , he will refuse . ,0
I ask my doctor about my hair loss . , he is the expert . , he will find the root of the problem . ,1
My grandparents ask me if I am going to marry my high school sweetheart . , my grandparents disapprove of him . , I will have to break up with him . ,0
"I was out fishing with my buddies and one of them forgot to bring bait, so I had to share mine . ", I only brought enough for myself . , I will not have enough . ,0
I had to apologize to my boss for being late . , I have been late for work too many times . , she will fire me . ,0
My friends ask me to marry her . , she is not my type . , my friends set me up . ,0
I bring up my children in a conversation with my boss . , I'm always talking about my kids . , he may think I'm not dedicated to my job . ,0
I assume the new position at work . , I have no experience in this field . , I will be unable to complete the project on time . ,0
"The military has been disbanded, and everyone is now trying to find new jobs . ", I have experience in the field . , it opens up more opportunities for me . ,1
I arouse my boss's interest by wearing a low-cut shirt to work . , he  is always making sexual jokes . , he  will try to take sexual advantage of me . ,0
I was at my friend's house and she started biting her nails and I realized I do the same thing . , I have been more aware of it lately . , I can kick my bad habit . ,1
I ask my boss to take a look at my resume . , he is very busy . , he will not have time for me . ,0
I always told my friends that I would never get married . , they are in happy relationships . , they may get married before me . ,0
I gave my mother a big hug and kiss goodbye as I left for college . , I'm her only child . , she might start crying . ,0
I put up a sign for my wife's new business . , it's in a rough neighborhood . , it will be vandalized . ,0
I turned 18 yesterday and am now a legal adult . , I will have to support myself now . , I have to start paying taxes . ,0
My aunt also bought me a souvenir keychain from her trip to Italy . , I love to travel . , I will go there one day . ,1
I give my girlfriend flowers on our anniversary . , I forgot to get her favorite kind . , she won't like them . ,0
My uncle avenged my grandfather's death . , my uncle is now in jail . , I will never see my grandfather again . ,0
I asked my friend for advice on how to handle my boss . , I am asking for help . , he will think I am not capable of doing my job . ,0
I added a new book to my collection of books on ancient Greece . , I have no time to read . , it will sit unread on my shelf . ,0
I beat the world record for the hundred-meter dash . , I am the only person to have ever done it . , people will be amazed . ,1
I accidentally broke my mom's favorite vase when I was dusting it . , she won't be able to find another one like it . , I will be in big trouble . ,0
I asked my teacher a question in class . , she answer it and she seemed to be interested in what I was asking . , my question was valid . ,1
My college is affordable because I have a scholarship . , I will be able to focus on my studies and not have to worry about working to pay for my tuition . , I will get a good education . ,1
I talked to my daughter about getting a cat . , I have seen how she is with other people's pets . , she will take good care of it . ,1
I asked my professor for an extension on my paper . , I've already used up all my extensions . , my request will be denied . ,0
My chiropractor has been having me come in three times a week to help improve my posture . , I will have gone to the chiropractor so often . , my posture will improve . ,1
My friends and I afford each other company . , we have different interests . , we  will be separated . ,0
My boss's decision will affect my interests . , I will lose some of my benefits . , it may not be the best decision . ,0
I asked my teacher for a recommendation for a summer program . , she knows how hard I have worked in her class . , my teacher will write me a strong letter . ,1
I babysit my younger cousin while my aunt goes out to run errands . , my aunt really appreciates it when I help her out . , I am helping out my family . ,1
I afford my rent by working two jobs . , I spend most of my paycheck on rent . , I will never be able to afford anything else . ,0
I am assuming the role of coordinator for the project . , I will be working with a great team . , positively  that the project will be a success . ,1
I asked my friend's sister out on a date . , I am not her type . , she will say no . ,0
I ask my neighbors if they know where my lost cat is . , they are animal lovers . , they will give me an answer . ,1
